sampleid	Sample	Cultivar	Flower.or.leaf	Phenological.stage.old	Phenological.stage	Location.on.tree	Collection.date	Tree.number	Plate	CPS.letters	CD.FL	CPS	cd.ps	T_max	T_max_previous_day	T_min	WetHours	WetHours_previous_day	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric
73	73	Coscia	Flower	F2-G	Full bloom	D	11.04.2019	7	1	Coscia F2-G	11.04.2019 Flower	Coscia Full bloom	11.04.2019 Full bloom	23.2	22.6	7.3	9.17	3.77	68551	48220	70.34	47460	43053	62.8	31927	46.57
75	75	Coscia	Flower	F2-G	Full bloom	D	11.04.2019	9	1	Coscia F2-G	11.04.2019 Flower	Coscia Full bloom	11.04.2019 Full bloom	23.2	22.6	7.3	9.17	3.77	69104	51610	74.68	51137	47913	69.33	30102	43.56
76	76	Coscia	Flower	F2-G	Full bloom	U	11.04.2019	8	1	Coscia F2-G	11.04.2019 Flower	Coscia Full bloom	11.04.2019 Full bloom	23.2	22.6	7.3	9.17	3.77	65079	47835	73.5	47570	45497	69.91	26411	40.58
77	77	Coscia	Flower	F2-G	Full bloom	D	11.04.2019	11	1	Coscia F2-G	11.04.2019 Flower	Coscia Full bloom	11.04.2019 Full bloom	23.2	22.6	7.3	9.17	3.77	69584	50125	72.04	49784	46932	67.45	28338	40.72
79	79	Coscia	Flower	F2-G	Full bloom	D	11.04.2019	8	1	Coscia F2-G	11.04.2019 Flower	Coscia Full bloom	11.04.2019 Full bloom	23.2	22.6	7.3	9.17	3.77	73048	51603	70.64	50731	45319	62.04	26342	36.06
107	107	Coscia	Flower	F2-G	Full bloom	U	11.04.2019	9	1	Coscia F2-G	11.04.2019 Flower	Coscia Full bloom	11.04.2019 Full bloom	23.2	22.6	7.3	9.17	3.77	72932	55036	75.46	54519	51791	71.01	28669	39.31
109	109	Coscia	Flower	F2-G	Full bloom	U	13.04.2019	7	1	Coscia F2-G	13.04.2019 Flower	Coscia Full bloom	13.04.2019 Full bloom	31.7	27.7	8.3	9.24	9.34	69914	51251	73.31	50832	47949	68.58	25229	36.09
110	110	Coscia	Flower	F2-G	Full bloom	D	13.04.2019	12	1	Coscia F2-G	13.04.2019 Flower	Coscia Full bloom	13.04.2019 Full bloom	31.7	27.7	8.3	9.24	9.34	69280	52442	75.7	51925	49232	71.06	28215	40.73
112	112	Coscia	Flower	F2-G	Full bloom	U	13.04.2019	12	1	Coscia F2-G	13.04.2019 Flower	Coscia Full bloom	13.04.2019 Full bloom	31.7	27.7	8.3	9.24	9.34	72539	53488	73.74	53022	50041	68.98	30146	41.56
